"id","year","month","state_name","state_code","assembly_no","ac_name","ac_type","candidate_name","sex","age","candidate_type","party","position","ac_total_candidates","total_electors","total_votes","total_valid_votes","vote_share_percentage","margin","margin_percentage","turnout_percentage","poll_no","delimit_id"
177,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","Erigela Rampullareddy","MALE",46.0,"GEN","TDP",3.0,13.0,200691.0,23800.0,153847.0,15.47,22405.0,14.56,76.66,0.0,4.0
178,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","H.S.Rawoof","MALE",44.0,"GEN","IND",4.0,13.0,200691.0,1395.0,153847.0,0.91,165.0,0.11,76.66,0.0,4.0
179,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","Injeti Krishna Reddy","MALE",44.0,"GEN","RJD",5.0,13.0,200691.0,1230.0,153847.0,0.8,107.0,0.07,76.66,0.0,4.0
180,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","Boreddy Lakshmi Reddy","MALE",42.0,"GEN","BJP",6.0,13.0,200691.0,1123.0,153847.0,0.73,156.0,0.1,76.66,0.0,4.0
181,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","Ruddireddy Radha Krishna","MALE",27.0,"GEN","LSP",7.0,13.0,200691.0,967.0,153847.0,0.63,12.0,0.01,76.66,0.0,4.0
182,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","T.Obulesu","MALE",33.0,"SC","BSP",8.0,13.0,200691.0,955.0,153847.0,0.62,88.0,0.06,76.66,0.0,4.0
183,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","J.Korneli Babu","MALE",40.0,"SC","IND",9.0,13.0,200691.0,867.0,153847.0,0.56,142.0,0.09,76.66,0.0,4.0
184,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","Gali Krishnaiah Naidu","MALE",52.0,"GEN","IND",10.0,13.0,200691.0,725.0,153847.0,0.47,67.0,0.04,76.66,0.0,4.0
185,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","M.Krishna Reddy","MALE",46.0,"GEN","RKSP",11.0,13.0,200691.0,658.0,153847.0,0.43,122.0,0.08,76.66,0.0,4.0
186,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","C.K.C.Venkateswarlu","MALE",57.0,"GEN","BCUF",12.0,13.0,200691.0,536.0,153847.0,0.35,97.0,0.06,76.66,0.0,4.0
187,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","C.Raghunath Reddy","MALE",55.0,"GEN","IND",13.0,13.0,200691.0,439.0,153847.0,0.29,0.0,0.0,76.66,0.0,4.0
188,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","B.S. Nagireddy","FEMALE","","None","YSRCP",1.0,16.0,200691.0,88697.0,168365.0,52.68,36795.0,21.85,83.89,1.0,4.0
189,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","G.P. Reddy","MALE","","None","INC",2.0,16.0,200691.0,51902.0,168365.0,30.83,31528.0,18.73,83.89,1.0,4.0
190,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","E.R. Reddy","MALE","","None","TD",3.0,16.0,200691.0,20374.0,168365.0,12.1,18843.0,11.19,83.89,1.0,4.0
191,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","M.V. Bhaskar","MALE","","None","IND",4.0,16.0,200691.0,1531.0,168365.0,0.91,506.0,0.3,83.89,1.0,4.0
192,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","S. Jayaramddu","MALE","","None","IND",5.0,16.0,200691.0,1025.0,168365.0,0.61,162.0,0.1,83.89,1.0,4.0
193,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","M. Reddy J.V.","MALE","","None","RRS",6.0,16.0,200691.0,863.0,168365.0,0.51,79.0,0.05,83.89,1.0,4.0
194,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","Y.V.Reddy","MALE","","None","IND",7.0,16.0,200691.0,784.0,168365.0,0.47,83.0,0.05,83.89,1.0,4.0
195,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","U.B.E.Reddy","FEMALE","","None","IND",8.0,16.0,200691.0,701.0,168365.0,0.42,236.0,0.14,83.89,1.0,4.0
196,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","T. Obulesu","MALE","","None","IND",9.0,16.0,200691.0,465.0,168365.0,0.28,14.0,0.01,83.89,1.0,4.0
197,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","M.L. Reddy","FEMALE","","None","IND",10.0,16.0,200691.0,451.0,168365.0,0.27,112.0,0.07,83.89,1.0,4.0
198,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","J. Bhaskar","MALE","","None","IND",11.0,16.0,200691.0,339.0,168365.0,0.2,49.0,0.03,83.89,1.0,4.0
199,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","A.V.N. Reddy","MALE","","None","IND",12.0,16.0,200691.0,290.0,168365.0,0.17,28.0,0.02,83.89,1.0,4.0
200,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","G.N. Reddy","MALE","","None","IND",13.0,16.0,200691.0,262.0,168365.0,0.16,26.0,0.02,83.89,1.0,4.0
201,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","G.P.Reddy","MALE","","None","IND",14.0,16.0,200691.0,236.0,168365.0,0.14,3.0,0.0,83.89,1.0,4.0
202,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","A.R.S.N. Reddy","MALE","","None","IND",15.0,16.0,200691.0,233.0,168365.0,0.14,21.0,0.01,83.89,1.0,4.0
203,"2012","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","S.V.Reddy","MALE","","None","NTRTDP(LP)",16.0,16.0,200691.0,212.0,168365.0,0.13,0.0,0.0,83.89,1.0,4.0
204,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","Bhuma Shobha Nagi Reddy","FEMALE",41.0,"GEN","YSRCP",1.0,8.0,221178.0,92108.0,173270.0,53.16,17928.0,10.35,78.34,0.0,4.0
205,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","Gangula Prabhakara Reddy","MALE",57.0,"GEN","TDP",2.0,8.0,221178.0,74180.0,173270.0,42.81,71352.0,41.18,78.34,0.0,4.0
206,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","T.A.Narasimha Rao","MALE",42.0,"GEN","INC",3.0,8.0,221178.0,2828.0,173270.0,1.63,1840.0,1.06,78.34,0.0,4.0
207,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","None Of The Above","None","","None","NOTA",4.0,8.0,221178.0,988.0,173270.0,0.57,147.0,0.08,78.34,0.0,4.0
208,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","Chennaiah Madara","MALE",37.0,"SC","JASPA",5.0,8.0,221178.0,841.0,173270.0,0.49,7.0,0.0,78.34,0.0,4.0
209,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","M.L.Bala Obaiah","MALE",30.0,"SC","BSP",6.0,8.0,221178.0,834.0,173270.0,0.48,32.0,0.02,78.34,0.0,4.0
210,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","Nagamalla Purushothamu","MALE",51.0,"GEN","IND",7.0,8.0,221178.0,802.0,173270.0,0.46,435.0,0.25,78.34,0.0,4.0
211,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","G.D.Reddy.","MALE",42.0,"GEN","IND",8.0,8.0,221178.0,367.0,173270.0,0.21,45.0,0.03,78.34,0.0,4.0
212,"2014","5","Andhra Pradesh","28",14.0,"Allagadda","GEN","S.Venkateswar Reddy","MALE",39.0,"GEN","IND",9.0,8.0,221178.0,322.0,173270.0,0.19,0.0,0.0,78.34,0.0,4.0
213,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","Gangula Brijendra Reddy (Nani)","MALE",32.0,"GEN","YSRCP",1.0,16.0,221164.0,105905.0,185693.0,57.03,35613.0,19.18,83.96,0.0,4.0
214,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","Akhila Priya Bhuma","FEMALE",31.0,"GEN","TDP",2.0,16.0,221164.0,70292.0,185693.0,37.85,67666.0,36.44,83.96,0.0,4.0
215,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","Chakali Pullaiah","MALE",44.0,"GEN","INC",3.0,16.0,221164.0,2626.0,185693.0,1.41,551.0,0.3,83.96,0.0,4.0
216,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","Sulam. Ramakrishnudu (R.K)","MALE",39.0,"GEN","JNP",4.0,16.0,221164.0,2075.0,185693.0,1.12,392.0,0.21,83.96,0.0,4.0
217,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","Nota","None","","None","NOTA",5.0,16.0,221164.0,1683.0,185693.0,0.91,904.0,0.49,83.96,0.0,4.0
218,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","Varikuti. Hannamma","FEMALE",36.0,"SC","IND",6.0,16.0,221164.0,779.0,185693.0,0.42,44.0,0.02,83.96,0.0,4.0
219,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","Boreddy Lakshmi Reddy, Advocate","MALE",52.0,"GEN","BJP",7.0,16.0,221164.0,735.0,185693.0,0.4,462.0,0.25,83.96,0.0,4.0
220,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","C. Raghunadha Reddy","MALE",64.0,"GEN","IND",8.0,16.0,221164.0,273.0,185693.0,0.15,7.0,0.0,83.96,0.0,4.0
221,"2019","4","Andhra Pradesh","28",15.0,"Allagadda","GEN","Dr.Yarranagu Prasad","MALE",40.0,"GEN","IND",9.0,16.0,221164.0,266.0,185693.0,0.14,89.0,0.05,83.96,0.0,4.0
